Time,EGM Signal 1,EGM Signal 2
0,77,
1,85,
2,80,
3,91,
4,85,
5,94,
6,87,
7,98,
8,86,
9,94,
10,92,
11,96,
12,91,
13,96,
14,90,
15,92,
16,87,
17,89,
18,92,
19,89,
20,91,
21,85,
22,94,
23,81,
24,92,
25,84,
26,95,
27,89,
28,94,
29,87,
30,92,
31,83,
32,93,
33,84,
34,93,
35,86,
36,97,
37,88,
38,92,
39,84,
40,88,
41,85,
42,87,
43,84,
44,87,
45,87,
46,86,
47,90,
48,82,
49,85,
50,77,
51,89,
52,75,
53,83,
54,88,
55,92,
56,87,
57,96,
58,89,
59,95,
60,81,
61,90,
62,84,
63,93,
64,83,
65,93,
66,87,
67,88,
68,82,
69,85,
70,82,
71,83,
72,88,
73,80,
74,85,
75,78,
76,87,
77,73,
78,81,
79,75,
80,83,
81,84,
82,90,
83,84,
84,92,
85,82,
86,91,
87,82,
88,91,
89,83,
90,92,
91,85,
92,91,
93,85,
94,84,
95,83,
96,82,
97,82,
98,83,
99,86,
100,79,
101,85,
102,77,
103,88,
104,75,
105,84,
106,75,
107,80,
108,79,
109,87,
110,81,
111,83,
112,81,
113,94,
114,83,
115,91,
116,87,
117,95,
118,86,
119,85,
120,79,
121,81,
122,82,
123,83,
124,83,
125,76,
126,73,
127,63,
128,71,
129,61,
130,70,
131,65,
132,78,
133,76,
134,82,
135,85,
136,90,
137,82,
138,87,
139,78,
140,85,
141,76,
142,85,
143,81,
144,85,
145,81,
146,84,
147,79,
148,83,
149,76,
150,74,
151,75,
152,67,
153,71,
154,75,
155,84,
156,70,
157,80,
158,70,
159,78,
160,79,
161,84,
162,80,
163,84,
164,79,
165,84,
166,78,
167,84,
168,76,
169,83,
170,81,
171,82,
172,75,
173,78,
174,78,
175,77,
176,77,
177,76,
178,80,
179,74,
180,84,
181,75,
182,80,
183,74,
184,79,
185,74,
186,82,
187,78,
188,84,
189,82,
190,90,
191,82,
192,89,
193,81,
194,90,
195,80,
196,85,
197,89,
198,86,
199,80,
200,80,
201,81,
202,81,
203,85,
204,78,
205,78,
206,77,
207,80,
208,71,
209,85,
210,74,
211,83,
212,77,
213,86,
214,82,
215,88,
216,77,
217,89,
218,79,
219,88,
220,79,
221,86,
222,79,
223,82,
224,82,
225,83,
226,82,
227,84,
228,85,
229,83,
230,86,
231,79,
232,86,
233,72,
234,83,
235,71,
236,80,
237,74,
238,80,
239,78,
240,88,
241,83,
242,88,
243,81,
244,89,
245,85,
246,92,
247,89,
248,87,
249,82,
250,82,
251,83,
252,84,
253,83,
254,82,
255,83,
256,79,
257,87,
258,77,
259,86,
260,77,
261,86,
262,79,
263,82,
264,82,
265,93,
266,81,
267,91,
268,84,
269,93,
270,82,
271,92,
272,84,
273,91,
274,85,
275,86,
276,81,
277,83,
278,81,
279,80,
280,84,
281,81,
282,86,
283,79,
284,87,
285,75,
286,85,
287,74,
288,82,
289,79,
290,88,
291,91,
292,92,
293,89,
294,104,
295,87,
296,98,
297,101,
298,100,
299,92,
300,93,
301,90,
302,90,
303,86,
304,89,
305,89,
306,84,
307,86,
308,77,
309,87,
310,80,
311,86,
312,77,
313,83,
314,82,
315,88,
316,83,
317,90,
318,80,
319,90,
320,83,
321,93,
322,86,
323,92,
324,85,
325,92,
326,94,
327,94,
328,88,
329,83,
330,82,
331,80,
332,87,
333,79,
334,88,
335,76,
336,85,
337,73,
338,82,
339,80,
340,85,
341,82,
342,89,
343,80,
344,89,
345,81,
346,88,
347,79,
348,88,
349,81,
350,84,
351,87,
352,89,
353,87,
354,86,
355,87,
356,79,
357,82,
358,80,
359,84,
360,77,
361,82,
362,81,
363,84,
364,81,
365,86,
366,81,
367,89,
368,94,
369,97,
370,76,
371,82,
372,73,
373,75,
374,82,
375,84,
376,84,
377,86,
378,102,
379,126,
380,101,
381,108,
382,107,
383,100,
384,153,
